index,stableKey,title,subtitle,description,categoryTheme,durationMinutes,associatedImageSlot,treatment,artDirectionNote,stateMetadata
22,joy-reawakening-gathering,Joy Reawakening Gathering,Wellbeing - 10 min - Manifestation room,Reawaken joy and emotional aliveness after stress or discouragement.,Wellbeing,10,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
23,resilience-under-pressure-room,Resilience Under Pressure Room,Wellbeing - 15 min - Manifestation room,Build resilience for high pressure seasons without losing inner peace.,Wellbeing,15,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
24,trust-surrender-session,Trust and Surrender Session,Spiritual Growth - 10 min - Manifestation room,Practice surrender while maintaining clear responsibility and action.,Spiritual Growth,10,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
25,self-worth-restoration-circle,Self Worth Restoration Circle,Healing - 5 min - Manifestation room,Restore self worth and inner dignity after criticism or rejection.,Healing,5,live.card.default,collective live moment,Restorative atmospheric tones with collective warmth.,Seed template item; rendered into canonical occurrences at runtime.
26,prosperous-partnerships-forum,Prosperous Partnerships Forum,Abundance - 15 min - Manifestation room,"Manifest prosperous partnerships based on trust, clarity, and mutual gain.",Abundance,15,live.card.default,collective live moment,"Expansive horizons, optimistic highlights, opportunity momentum.",Seed template item; rendered into canonical occurrences at runtime.
27,debt-freedom-intention-room,Debt Freedom Intention Room,Abundance - 10 min - Manifestation room,Set focused intention for debt reduction and long term financial freedom.,Abundance,10,live.card.default,collective live moment,"Expansive horizons, optimistic highlights, opportunity momentum.",Seed template item; rendered into canonical occurrences at runtime.
28,generous-heart-abundance-circle,Generous Heart Abundance Circle,Abundance - 5 min - Manifestation room,"Manifest abundance through generosity, gratitude, and trust.",Abundance,5,live.card.default,collective live moment,"Expansive horizons, optimistic highlights, opportunity momentum.",Seed template item; rendered into canonical occurrences at runtime.
29,career-transition-support-event,Career Transition Support Event,Career - 15 min - Manifestation room,"Support major career transitions with courage, strategy, and stability.",Career,15,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
30,new-beginning-manifestation-room,New Beginning Manifestation Room,Manifestation - 10 min - Manifestation room,"Anchor a powerful fresh start with clarity, courage, and consistency.",Manifestation,10,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
31,compassionate-communication-circle,Compassionate Communication Circle,Relationships - 5 min - Manifestation room,"Strengthen communication with empathy, truth, and respectful listening.",Relationships,5,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
32,reconciliation-intention-gathering,Reconciliation Intention Gathering,Forgiveness - 15 min - Manifestation room,Create space for reconciliation where healing and accountability can coexist.,Forgiveness,15,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
33,fertility-hope-manifestation,Fertility Hope Manifestation,Healing - 10 min - Manifestation room,"Hold fertility intentions with tenderness, hope, and emotional support.",Healing,10,live.card.default,collective live moment,Restorative atmospheric tones with collective warmth.,Seed template item; rendered into canonical occurrences at runtime.
34,parenting-wisdom-event,Parenting Wisdom Event,Family - 5 min - Manifestation room,"Seek practical wisdom, patience, and presence for parenting well.",Family,5,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
35,exam-confidence-intention-room,Exam Confidence Intention Room,Education - 10 min - Manifestation room,"Boost exam confidence, memory recall, and calm focus under pressure.",Education,10,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
36,students-focus-manifestation-room,Students Focus Manifestation Room,Education - 15 min - Manifestation room,"Manifest sustained focus, motivation, and healthy study rhythm.",Education,15,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
37,travel-protection-intention-circle,Travel Protection Intention Circle,Protection - 5 min - Manifestation room,"Set collective intentions for safe travel, timing, and peaceful journeys.",Protection,5,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
38,global-peace-pulse-event,Global Peace Pulse Event,Global - 15 min - Manifestation room,"Unite global intention for peace, dignity, and reconciliation across nations.",Global,15,live.card.flagship1111,flagship,"Planetary/global cues, radiant rings, high-signal accents, collective magnitude.",Seed template item; rendered into canonical occurrences at runtime.
39,mission-driven-business-room,Mission Driven Business Room,Career - 10 min - Manifestation room,Manifest business growth that serves people and stays values aligned.,Career,10,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
40,ethical-wealth-manifestation,Ethical Wealth Manifestation,Abundance - 15 min - Manifestation room,"Manifest wealth through integrity, stewardship, and meaningful contribution.",Abundance,15,live.card.default,collective live moment,"Expansive horizons, optimistic highlights, opportunity momentum.",Seed template item; rendered into canonical occurrences at runtime.
41,grief-to-hope-healing-circle,Grief to Hope Healing Circle,Healing - 10 min - Manifestation room,Move gently from grief toward renewed hope and emotional strength.,Healing,10,live.card.default,collective live moment,Restorative atmospheric tones with collective warmth.,Seed template item; rendered into canonical occurrences at runtime.
42,spiritual-discernment-gathering,Spiritual Discernment Gathering,Spiritual Growth - 5 min - Manifestation room,"Seek discernment for decisions, direction, and timing in this season.",Spiritual Growth,5,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
43,morning-momentum-intention-room,Morning Momentum Intention Room,Purpose - 5 min - Manifestation room,"Set morning momentum for focus, discipline, and meaningful progress.",Purpose,5,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
44,evening-reflection-manifestation,Evening Reflection Manifestation,Gratitude - 10 min - Manifestation room,"Reflect on the day, integrate lessons, and set intentions for tomorrow.",Gratitude,10,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
45,collective-courage-event,Collective Courage Event,Confidence - 15 min - Manifestation room,Build collective courage for bold action in uncertain moments.,Confidence,15,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
46,creative-problem-solving-hub,Creative Problem Solving Hub,Creativity - 10 min - Manifestation room,Manifest fresh solutions for complex problems with collaborative insight.,Creativity,10,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
47,healthy-boundaries-intention-room,Healthy Boundaries Intention Room,Relationships - 5 min - Manifestation room,Set intentions for healthy boundaries that protect peace and connection.,Relationships,5,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
48,sacred-union-manifestation,Sacred Union Manifestation,Relationships - 15 min - Manifestation room,"Manifest sacred partnership rooted in trust, devotion, and shared growth.",Relationships,15,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
49,fertile-ideas-innovation-circle,Fertile Ideas Innovation Circle,Creativity - 10 min - Manifestation room,Nurture fertile ideas into viable innovations with clear execution.,Creativity,10,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
50,abundance-for-impact-gathering,Abundance for Impact Gathering,Abundance - 15 min - Manifestation room,Manifest abundance that multiplies impact across family and community.,Abundance,15,live.card.default,collective live moment,"Expansive horizons, optimistic highlights, opportunity momentum.",Seed template item; rendered into canonical occurrences at runtime.
51,recovery-and-renewal-room,Recovery and Renewal Room,Healing - 10 min - Manifestation room,"Support recovery journeys with patience, courage, and practical support.",Healing,10,live.card.default,collective live moment,Restorative atmospheric tones with collective warmth.,Seed template item; rendered into canonical occurrences at runtime.
52,inner-child-healing-event,Inner Child Healing Event,Healing - 15 min - Manifestation room,"Heal early emotional wounds with compassion, safety, and integration.",Healing,15,live.card.default,collective live moment,Restorative atmospheric tones with collective warmth.,Seed template item; rendered into canonical occurrences at runtime.
53,workplace-favor-intention-room,Workplace Favor Intention Room,Career - 10 min - Manifestation room,"Call in favor, clarity, and mutual respect across workplace relationships.",Career,10,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
54,legacy-building-manifestation,Legacy Building Manifestation,Purpose - 15 min - Manifestation room,"Manifest a legacy of wisdom, service, and generational blessing.",Purpose,15,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
55,physical-vitality-intention-circle,Physical Vitality Intention Circle,Wellbeing - 5 min - Manifestation room,"Set intention for physical vitality, movement, and sustained energy.",Wellbeing,5,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
56,sacred-focus-deep-work-room,Sacred Focus Deep Work Room,Purpose - 10 min - Manifestation room,Manifest deep focus for meaningful work and sustained concentration.,Purpose,10,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
57,collective-thanksgiving-event,Collective Thanksgiving Event,Gratitude - 5 min - Manifestation room,Gather in shared thanksgiving to anchor unity and emotional uplift.,Gratitude,5,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
58,visionary-leadership-convergence,Visionary Leadership Convergence,Leadership - 15 min - Manifestation room,"Converge around visionary leadership for ethical, scalable impact.",Leadership,15,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
59,abundant-harvest-intention-room,Abundant Harvest Intention Room,Abundance - 10 min - Manifestation room,Manifest abundant harvest from faithful effort and consistent sowing.,Abundance,10,live.card.default,collective live moment,"Expansive horizons, optimistic highlights, opportunity momentum.",Seed template item; rendered into canonical occurrences at runtime.
60,manifestation-room-for-healing-economies,Manifestation Room for Healing Economies,Global - 15 min - Manifestation room,Set intention for fair economies that restore dignity and opportunity.,Global,15,live.card.flagship1111,flagship,"Planetary/global cues, radiant rings, high-signal accents, collective magnitude.",Seed template item; rendered into canonical occurrences at runtime.
61,intention-room-for-clear-identity,Intention Room for Clear Identity,Spiritual Growth - 10 min - Manifestation room,Strengthen inner identity so choices flow from truth rather than fear.,Spiritual Growth,10,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
