index,stableKey,title,subtitle,description,categoryTheme,durationMinutes,associatedImageSlot,treatment,artDirectionNote,appCtaLabel,metadata
11,prayer:prayer-of-daily-gratitude:gratitude,Prayer of Daily Gratitude,Gratitude - 5 min - runtime starts,"Center the heart in gratitude for daily gifts, lessons, and faithful support.",Gratitude,5,solo.card.default,personal ritual,"Warm dawn/dusk palette, reflective highlights.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
12,prayer:prayer-for-evening-reflection:gratitude,Prayer for Evening Reflection,Gratitude - 5 min - runtime starts,"Reflect with humility, celebrate progress, and carry gratitude into tomorrow.",Gratitude,5,solo.card.default,personal ritual,"Warm dawn/dusk palette, reflective highlights.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
13,prayer:prayer-for-marital-peace:relationships,Prayer for Marital Peace,Relationships - 5 min - runtime starts,"Renew tenderness, mutual respect, and wise communication so this marriage can flourish in peace.",Relationships,5,solo.card.default,personal ritual,Dual-node compositions and relational warmth.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
14,prayer:prayer-for-wise-boundaries:relationships,Prayer for Wise Boundaries,Relationships - 5 min - runtime starts,"Teach me to set clear, loving boundaries that protect peace while honoring every person involved.",Relationships,5,solo.card.default,personal ritual,Dual-node compositions and relational warmth.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
15,prayer:prayer-for-trust-after-hurt:relationships,Prayer for Trust After Hurt,Relationships - 5 min - runtime starts,"Heal what has been wounded and rebuild trust through honesty, patience, and consistent love.",Relationships,5,solo.card.default,personal ritual,Dual-node compositions and relational warmth.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
16,prayer:prayer-for-friendship-renewal:relationships,Prayer for Friendship Renewal,Relationships - 5 min - runtime starts,"Restore this friendship with humility, understanding, and shared joy that lasts.",Relationships,5,solo.card.default,personal ritual,Dual-node compositions and relational warmth.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
17,prayer:prayer-for-compassionate-listening:relationships,Prayer for Compassionate Listening,Relationships - 5 min - runtime starts,"Help me listen with empathy, speak with grace, and respond with wisdom.",Relationships,5,solo.card.default,personal ritual,Dual-node compositions and relational warmth.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
18,prayer:prayer-for-freedom-from-anxiety:wellbeing,Prayer for Freedom from Anxiety,Wellbeing - 5 min - runtime starts,"Calm my racing thoughts and ground me in peace that steadies heart, mind, and body.",Wellbeing,5,solo.card.default,personal ritual,Breath-like gradients and low visual noise.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
19,prayer:prayer-for-restful-sleep:wellbeing,Prayer for Restful Sleep,Wellbeing - 5 min - runtime starts,"Quiet my mind, relax my body, and grant me deep restorative sleep tonight.",Wellbeing,5,solo.card.default,personal ritual,Breath-like gradients and low visual noise.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
20,prayer:prayer-for-strength-in-recovery:wellbeing,Prayer for Strength in Recovery,Wellbeing - 5 min - runtime starts,"Give me daily strength, hopeful discipline, and support as I recover step by step.",Wellbeing,5,solo.card.default,personal ritual,Breath-like gradients and low visual noise.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
21,prayer:prayer-for-emotional-resilience:wellbeing,Prayer for Emotional Resilience,Wellbeing - 5 min - runtime starts,Build resilience within me so I can face pressure with calm and courage.,Wellbeing,5,solo.card.default,personal ritual,Breath-like gradients and low visual noise.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
22,prayer:prayer-for-mental-clarity:wellbeing,Prayer for Mental Clarity,Wellbeing - 5 min - runtime starts,"Clear confusion, sharpen focus, and guide my mind toward truth and wise action.",Wellbeing,5,solo.card.default,personal ritual,Breath-like gradients and low visual noise.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
23,prayer:prayer-for-gentle-self-compassion:wellbeing,Prayer for Gentle Self Compassion,Wellbeing - 5 min - runtime starts,"Teach me to treat myself with mercy, patience, and honest kindness.",Wellbeing,5,solo.card.default,personal ritual,Breath-like gradients and low visual noise.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
24,prayer:prayer-for-open-doors:abundance,Prayer for Open Doors,Abundance - 5 min - runtime starts,Open the right doors and align me with meaningful opportunities that serve good.,Abundance,5,solo.card.manifestation,personal ritual,"Luminous gold accents, optimistic horizon depth, growth cues.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
25,prayer:prayer-for-debt-freedom:abundance,Prayer for Debt Freedom,Abundance - 5 min - runtime starts,"Give me discipline, favor, and practical wisdom to move steadily toward debt freedom.",Abundance,5,solo.card.manifestation,personal ritual,"Luminous gold accents, optimistic horizon depth, growth cues.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
26,prayer:prayer-for-faithful-stewardship:abundance,Prayer for Faithful Stewardship,Abundance - 5 min - runtime starts,"Help me manage resources faithfully with integrity, generosity, and long term vision.",Abundance,5,solo.card.manifestation,personal ritual,"Luminous gold accents, optimistic horizon depth, growth cues.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
27,prayer:prayer-for-business-integrity:abundance,Prayer for Business Integrity,Abundance - 5 min - runtime starts,"Guide this work with honest decisions, fair dealings, and sustainable growth.",Abundance,5,solo.card.manifestation,personal ritual,"Luminous gold accents, optimistic horizon depth, growth cues.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
28,prayer:prayer-for-work-opportunities:abundance,Prayer for Work Opportunities,Abundance - 5 min - runtime starts,Lead me to the right work opportunities where my gifts can serve and prosper.,Abundance,5,solo.card.manifestation,personal ritual,"Luminous gold accents, optimistic horizon depth, growth cues.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
29,prayer:prayer-for-discernment-in-decisions:purpose,Prayer for Discernment in Decisions,Purpose - 5 min - runtime starts,"Grant discernment so I can choose wisely, act clearly, and move in peace.",Purpose,5,solo.card.manifestation,personal ritual,Directional lines and disciplined visual clarity.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
30,prayer:prayer-for-focused-discipline:purpose,Prayer for Focused Discipline,Purpose - 5 min - runtime starts,Strengthen my discipline to finish what matters with steady and faithful effort.,Purpose,5,solo.card.manifestation,personal ritual,Directional lines and disciplined visual clarity.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
31,prayer:prayer-for-courage-to-begin:purpose,Prayer for Courage to Begin,Purpose - 5 min - runtime starts,Replace hesitation with courage so I can begin the work I am called to do.,Purpose,5,solo.card.manifestation,personal ritual,Directional lines and disciplined visual clarity.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
32,prayer:prayer-for-consistency-and-follow-through:purpose,Prayer for Consistency and Follow Through,Purpose - 5 min - runtime starts,Help me remain consistent in small daily actions that produce lasting fruit.,Purpose,5,solo.card.manifestation,personal ritual,Directional lines and disciplined visual clarity.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
33,prayer:prayer-for-children-s-safety:protection,Prayer for Children's Safety,Protection - 5 min - runtime starts,"Watch over these children and keep them safe, wise, and surrounded by good influences.",Protection,5,solo.card.default,personal ritual,Shield-like framing with grounded secure composition.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
34,prayer:prayer-for-peaceful-home:protection,Prayer for Peaceful Home,Protection - 5 min - runtime starts,"Fill this home with safety, harmony, and emotional peace.",Protection,5,solo.card.default,personal ritual,Shield-like framing with grounded secure composition.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
35,prayer:prayer-for-protection-at-work:protection,Prayer for Protection at Work,Protection - 5 min - runtime starts,"Protect me at work from harm, conflict, and burnout while guiding every interaction.",Protection,5,solo.card.default,personal ritual,Shield-like framing with grounded secure composition.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
36,prayer:prayer-for-digital-safety:protection,Prayer for Digital Safety,Protection - 5 min - runtime starts,"Guard my online life and relationships with wisdom, privacy, and healthy boundaries.",Protection,5,solo.card.default,personal ritual,Shield-like framing with grounded secure composition.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
37,prayer:prayer-for-morning-gratitude:gratitude,Prayer for Morning Gratitude,Gratitude - 5 min - runtime starts,"Begin this day with gratitude, clarity, and a heart ready to serve with joy.",Gratitude,5,solo.card.default,personal ritual,"Warm dawn/dusk palette, reflective highlights.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
38,prayer:prayer-for-gratitude-in-hard-seasons:gratitude,Prayer for Gratitude in Hard Seasons,Gratitude - 5 min - runtime starts,Teach me gratitude even in difficulty and help me notice quiet grace each day.,Gratitude,5,solo.card.default,personal ritual,"Warm dawn/dusk palette, reflective highlights.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
39,prayer:prayer-for-thankful-heart-in-success:gratitude,Prayer for Thankful Heart in Success,Gratitude - 5 min - runtime starts,"Keep me humble and thankful when success arrives, honoring the people who helped me.",Gratitude,5,solo.card.default,personal ritual,"Warm dawn/dusk palette, reflective highlights.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
40,prayer:prayer-for-gratitude-for-community:gratitude,Prayer for Gratitude for Community,Gratitude - 5 min - runtime starts,"Thank you for community, faithful friendships, and the strength we find together.",Gratitude,5,solo.card.default,personal ritual,"Warm dawn/dusk palette, reflective highlights.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
41,prayer:prayer-for-physical-healing:healing,Prayer for Physical Healing,Healing - 5 min - runtime starts,"Bring healing to my body, renewed strength to my limbs, and peace to my spirit.",Healing,5,solo.card.default,personal ritual,"Restorative cool-to-warm transitions, stable center light.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
42,prayer:prayer-for-healing-from-chronic-pain:healing,Prayer for Healing from Chronic Pain,Healing - 5 min - runtime starts,"Sustain me through chronic pain with relief, endurance, and compassionate care.",Healing,5,solo.card.default,personal ritual,"Restorative cool-to-warm transitions, stable center light.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
43,prayer:prayer-for-healing-after-surgery:healing,Prayer for Healing After Surgery,Healing - 5 min - runtime starts,"Bless this recovery with steady progress, reduced pain, and full restoration.",Healing,5,solo.card.default,personal ritual,"Restorative cool-to-warm transitions, stable center light.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
44,prayer:prayer-for-healing-from-burnout:healing,Prayer for Healing from Burnout,Healing - 5 min - runtime starts,"Restore my energy, protect my peace, and rebuild healthy rhythms after burnout.",Healing,5,solo.card.default,personal ritual,"Restorative cool-to-warm transitions, stable center light.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
45,prayer:prayer-for-healing-of-the-heart:healing,Prayer for Healing of the Heart,Healing - 5 min - runtime starts,"Heal emotional wounds and replace sorrow with hope, gentleness, and resilience.",Healing,5,solo.card.default,personal ritual,"Restorative cool-to-warm transitions, stable center light.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
46,prayer:prayer-for-wisdom-in-parenting:parenting,Prayer for Wisdom in Parenting,Parenting - 5 min - runtime starts,"Give me wisdom in parenting so I can lead with love, structure, and patience.",Parenting,5,solo.card.default,personal ritual,Protective framing shapes and gentle household warmth.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
47,prayer:prayer-for-patience-with-children:parenting,Prayer for Patience with Children,Parenting - 5 min - runtime starts,Help me respond with calm patience and understanding when my children need guidance.,Parenting,5,solo.card.default,personal ritual,Protective framing shapes and gentle household warmth.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
48,prayer:prayer-for-protection-over-children:parenting,Prayer for Protection over Children,Parenting - 5 min - runtime starts,"Protect these children physically, emotionally, and spiritually as they grow.",Parenting,5,solo.card.default,personal ritual,Protective framing shapes and gentle household warmth.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
49,prayer:prayer-for-parent-child-reconciliation:parenting,Prayer for Parent Child Reconciliation,Parenting - 5 min - runtime starts,"Restore this parent child relationship with humility, honesty, and renewed trust.",Parenting,5,solo.card.default,personal ritual,Protective framing shapes and gentle household warmth.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
50,prayer:prayer-for-forgiving-others:forgiveness,Prayer for Forgiving Others,Forgiveness - 5 min - runtime starts,"Give me grace to forgive others, release bitterness, and choose peace.",Forgiveness,5,solo.card.default,personal ritual,"Soft veil gradients, release-oriented visual pacing.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
51,prayer:prayer-for-self-forgiveness:forgiveness,Prayer for Self Forgiveness,Forgiveness - 5 min - runtime starts,"Help me accept mercy, learn from my mistakes, and walk forward without shame.",Forgiveness,5,solo.card.default,personal ritual,"Soft veil gradients, release-oriented visual pacing.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
52,prayer:prayer-for-releasing-resentment:forgiveness,Prayer for Releasing Resentment,Forgiveness - 5 min - runtime starts,"Loosen the grip of resentment and replace it with wisdom, freedom, and peace.",Forgiveness,5,solo.card.default,personal ritual,"Soft veil gradients, release-oriented visual pacing.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
53,prayer:prayer-for-bold-faith:courage,Prayer for Bold Faith,Courage - 5 min - runtime starts,"Strengthen my faith so I can act boldly with humility, love, and conviction.",Courage,5,solo.card.default,personal ritual,"Focused beam lighting, high-contrast center, forward energy.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
54,prayer:prayer-for-courage-in-conflict:courage,Prayer for Courage in Conflict,Courage - 5 min - runtime starts,Grant courage in conflict so I can pursue truth and peace without fear.,Courage,5,solo.card.default,personal ritual,"Focused beam lighting, high-contrast center, forward energy.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
55,prayer:prayer-for-strength-under-pressure:courage,Prayer for Strength under Pressure,Courage - 5 min - runtime starts,"Steady me under pressure and help me respond with strength, calm, and clarity.",Courage,5,solo.card.default,personal ritual,"Focused beam lighting, high-contrast center, forward energy.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
56,prayer:prayer-for-circle-unity:community,Prayer for Circle Unity,Community - 5 min - runtime starts,"Unify this circle in purpose, trust, and compassion so we can serve together well.",Community,5,solo.card.default,governance/belonging,"Constellation motifs, connected nodes, collective warmth.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
57,prayer:prayer-for-compassionate-leadership:community,Prayer for Compassionate Leadership,Community - 5 min - runtime starts,"Shape my leadership with humility, courage, and care for every person entrusted to me.",Community,5,solo.card.default,governance/belonging,"Constellation motifs, connected nodes, collective warmth.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
58,prayer:prayer-for-serving-the-vulnerable:community,Prayer for Serving the Vulnerable,Community - 5 min - runtime starts,Open my eyes to the vulnerable and guide me to serve with practical love.,Community,5,solo.card.default,governance/belonging,"Constellation motifs, connected nodes, collective warmth.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
59,prayer:prayer-for-comfort-in-grief:grief,Prayer for Comfort in Grief,Grief - 5 min - runtime starts,Comfort me in grief and hold me with peace while I heal through this loss.,Grief,5,solo.card.default,personal ritual,Muted cool palette with gentle hopeful warmth.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
60,prayer:prayer-for-hope-after-loss:grief,Prayer for Hope After Loss,Grief - 5 min - runtime starts,Plant hope after loss and lead me gently toward renewed strength and purpose.,Grief,5,solo.card.default,personal ritual,Muted cool palette with gentle hopeful warmth.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
61,prayer:prayer-for-trust-in-god-s-timing:faith,Prayer for Trust in God's Timing,Faith - 5 min - runtime starts,"Teach me to trust your timing with patience, surrendered control, and quiet confidence.",Faith,5,solo.card.default,personal ritual,"Calm horizon glow, reverent minimal symbolism.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
62,prayer:prayer-for-creative-flow:creativity,Prayer for Creative Flow,Creativity - 5 min - runtime starts,"Inspire fresh ideas and help me create work that is honest, beautiful, and useful.",Creativity,5,solo.card.default,personal ritual,"Iridescent textures, layered gradients, exploratory abstractions.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
